,frame_name,frame_definition,lexical_units_list
34,Agregado,Este frame contém substantivos que denotam o Agregado de um Indivíduo. Os Agregados podem ser descritos por uma Propriedade_agregada.,"acervo.n
aglomerado.n
amontoado.n
anfitrião.n
assembléia.n
bancada.n
banda.n
bando.n
batalhão.n
cacho.n
caravana.n
cardume.n
casal.n
círculo social.n
círculo.n
classe.n
coleção.n
colônia.n
combinação.n
combo.n
comunidade.n
conjunto.n
corja.n
corpo.n
corporação.n
dupla.n
enxame.n
equipe.n
escola.n
esquadra.n
esquadrão.n
exército.n
facção.n
família.n
fardo.n
feixe.n
força.n
fornada.n
frota.n
galáxia.n
game.n
gangue.n
gentalha.n
grupo.n
harém.n
horda.n
jogo.n
legião.n
livro.n
maço.n
máfia.n
maioria.n
manada.n
massa.n
matilha.n
monte.n
multidão.n
multiplicidade.n
multiplicidade.n
muvuca.n
ninhada.n
pacote.n
panelinha.n
partido.n
pelotão.n
penca.n
pilha.n
plebe.n
população.n
populacho.n
punhado.n
quarteto.n
quinteto.n
ralé.n
rebanho.n
repertório.n
safra.n
sexteto.n
sortimento.n
time.n
tribo.n
trio.n
tripulação.n
tropel.n
turma.n
universo.n
variedade.n"
35,Agricultura,"Nesse frame, um Agricultor cultiva um Alimento. A localização ou o Solo onde o alimento é cultivado pelo Agricultor é geralmente expresso.",cultivo.n
36,Agrupar,"Um grupo de Indivíduos se juntam intencionalmente para formar um Grupo. Alternativamente, um Grupo_1 , gramaticalmente mais proeminente se agrupa com um Grupo_2, expressado em uma frase oblíqua . Se esta construção assimétrica for escolhida, a Finalidade só é relativa ao Grupo_1.",encontrar.v
37,Ajustar,"Um Agente troca uma Parte de uma entidade complexa no que diz respeito a alguma Característica de modo a alcançar alguma Finalidade_imposta afetada pela Característica. A entidade complexa é frequentemente um dispositivo ou mecanismo, mas pode também ser uma entidade abstrata, tal como a economia. A entidade completa também pode ser usada no lugar da Parte.","adaptar.v
adequar.v"
38,Alcance,"Existe uma certa Distância física dentro da qual alguma outra entidade pode participar de um Evento (normalmente percepção ou manipulação) com o Participante. Como alternativa, o Evento pode ser indicado metonimicamente por um Instrumento.","distância.n
vista.n"
39,Alegar,"Um Falante menciona uma Entidade_especificada contendo um Papel, fornecendo, assim, informações que sustentem o ponto de vista do Falante.",
40,Aliança,"Depois de ter trabalhado separadamente por algum tempo, dois ou mais indivíduos ou organizações, os Membros,são agora organizados em uma Aliança. Desta forma, pode-se propor uma Finalidade comum. Os Membros anteriormente separados podem ser apresentados separadamente como Membro_1 e Membro_2.",
41,Alimentação,Apresenta prédios e serviços de alimentação oferecidos ao Turista.,"açaiteria.n
bar-restaurante.n
bar.n
barraca.n
barraquinha.n
birosca.n
bistrô.n
bonbonnière.n
boteco.n
botequim.n
bufê.n
buffet.n
café.n
cafeteria.n
cervejaria.n
champanharia.n
champanheria.n
chocolateria.n
choperia.n
churrascaria.n
drinkeria.n
fast-food.n
food truck.n
hamburgueria.n
lanchonete.n
loja de bebidas alcoólicas.n
loja de bebidas.n
loja de cervejas.n
mercado.n
mercearia.n
padaria.n
pastelaria.n
pé-sujo.n
pesque-pague.n
pesqueiro.n
pizzaria.n
podrão.n
pub.n
restaurante árabe.n
restaurante brasileiro.n
restaurante chinês.n
restaurante europeu.n
restaurante francês.n
restaurante italiano.n
restaurante japonês.n
restaurante mexicano.n
restaurante mineiro.n
restaurante português.n
restaurante self-service.n
restaurante vegano.n
restaurante.n
rodízio.n
self-service.a
sorveteria.n
supermercado.n
taberna.n
tacacazeira.n
temakeria.n
trailer.n
vegetariano.n"
42,Alimentos_e_bebidas,Palavras que se referem a itens alimentícios e bebidas.,"acarajé.n
agnolini.n
água de coco.n
alimento.n
amor perfeito.n
arroz-doce.n
baguete.n
banana frita.n
barreado.n
batata-frita.n
bebida alcoólica.n
bebida.n
biscoito.n
bisteca.n
bobó.n
bolinho.n
bolo.n
breja.n
brigadeiro.n
bruschetta.n
buchada de bode.n
burguer.n
burrata.n
burrito.n
café.n
caipirinha.n
caipiríssima.n
caipiroska.n
caipisaquê.n
caipivodka.n
cajuína.n
cajuzinho.n
calda.n
caldeirada.n
caldo de cana.n
caldo.n
canjica.n
canjiquinha.n
capuccino.n
carioca.n
carpaccio.n
caruru.n
catchup.n
cereal.n
champagne.n
champanhe.n
cheeseburger.n
chimarrão.n
chope.n
chopp.n
chouriço.n
churrasco.n
churro.n
cocada.n
comida caiçara.n
comida.n
compota.n
coquetel.n
croquete.n
cuca.n
curau.n
dobradinha.n
doce.n
drink.n
drinque.n
einsbein.n
empada.n
especiaria.n
espresso.n
expresso.n
farofa.n
feijão-tropeiro.n
feijoada.n
frutos do mar.n
galinha ao molho pardo.n
galinha ensopada.n
gelato.n
geleia.n
gengibre.n
goiabada.n
gordice.n
guloseima.n
hambúrguer.n
hummus.n
iguaria.n
kafta.n
kibe.n
leitão à pururuca.n
licor.n
limão.a
limonada.n
maniçoba.n
marguerita.n
milkshake.n
molho.n
moqueca capixaba.n
moqueca.n
mousse.n
mozzarela.n
nachos.n
noz-moscada.n
ovo.n
paella de mariscos.n
paella.n
pamonha.n
panqueca.n
pastel.n
pé-de-moleque.n
picadinho.n
pipoca.n
pirão.n
pirarucu de casaca.n
pizza.n
podrão.n
polenta.n
prato típico.n
prato.n
pudim.n
quentão.n
quibe.n
rabada.n
refeição.n
refrigerante.n
risoto.n
rosca.n
saideira.n
salada.n
salgado.n
salpicão.n
sanduíche de pernil com abacaxi.n
sanduíche.n
sarapatel.n
sashimi.n
sobrecoxa.n
sonho.n
sopa agnolini.n
sopa.n
sorvete.n
suco.n
sushi.n
tacacá.n
tangerina.n
tapa.n
tererê.n
torta.n
uísque.n
vaca atolada.n
vatapá.n
whisky.n"
43,Alternatividade,"Existe uma Alternativa_descrita que na qual o falante deseja focar primariamente e que é mutuamente exclusiva com a Alternativa_contrastante. Não é possível que as duas sejam reais no mesmo contexto com os mesmos participantes, mesmo que a situação descrita possa ser real para as mesmas entidades em tempos distintos. Frames que herdam deste frame: Negação, pode indicar qual alternativa se espera ser negada no caso, mas em outros frames relacionados a este, ex.: Cenário_condicional e Alternativas, ambas as alternativas são apresentadas como possíveis, qual é verdadeira e qual se mantem como possibilidade em aberto.",em vez de.ccon
44,Alugar,A Lessee gains the use of Goods owned by a Lessor by payment to the Lessor.,alugar.v
45,Alvo,Um Ponto_de_referência (em combinação com o esquema de imagem evocado por alvos específicos) serve para selecionar o local final de um Trajetor em um evento de movimento real ou específico.,"a.prep
para.prep"
46,Amalgamação,"Refere-se a Partes se unindo para formar um Todo. (As Partes também podem ser codificadas como Parte_1 e Parte_2.) Existe uma relação simétrica entre os componentes que passam pelo processo, e depois as Partes são consumidas e deixam de ser entidades distintas que são facilmente discerníveis ou separáveis do Todo.","entrelaçar.v
misto.n
mistura.n
misturar.v
unificado.a"
47,Amigável_ou_hostil,Duas partes ou indivíduos estão do mesmo lado ou de lados diferentes de um conflito (tipicamente militar). Os dois lados podem ser expressos em conjunto como o Lados ou separadamente como Lado_1 e Lado_2.,"adversário.a
inimigo.n"
48,Andar_de_veículo,"Nesse frame, um Tema é movido por um Veículo que não está diretamente sob seu poder. Podem ser indicados a Fonte, a Trajetória, o Alvo ou a Área do movimento. A Distância viajada ou a Velocidade do movimento também pode ser indicadas. Uma Rota ou Via podem estar presentes e a Maneira na qual o Tema se movimenta pode ser dada.","andar.v
cruzeiro.n
fazer mochilão.v
navegação.n
navegar.v
pegar.v
velejar.v
voar.v
voo.n"
49,Anexação_incoativa,"Um Item será anexado a um Alvo, com um Conector formando uma ligação entre a Alça do Item e o Alvo (ou uma parte dele). Alternativamente, muitos Itens podem formar uma ligação entre si.",encontrar.v
50,Anexar,"O frame Anexar cobre duas situações: uma cena na qual alguém faz com que uma coisa seja fisicamente conectada a outra coisa; ou uma cena na qual alguém faz com que duas coisas sejam conectadas uma a outra. Na primeira, o frame inclui um Agente que anexa um Item a um Alvo por manipular um Conector, criando uma relação assimétrica entre os dois Itens. Em ambos os casos, o Conector permanece unindo as duas entidades (ou Item e Alvo, ou dois Itens), sem criar uma nova entidade.","anexar.v
interligar.v
ligar.v"
51,Animais,"As ULs deste frame se referem a entidades biológicas que não são humanos nem plantas, as quais são etiquetadas com o EF Animal.","abelha.n
ácaro.n
animal.n
araponga.n
besouro.n
boi.n
borboleta.n
cachorro.n
cão.n
carneiro.n
cavalo.n
cavaquinha.n
chimpanzé.n
cordeiro.n
elefante.n
fauna.n
filhote.n
frango.n
galinha.n
galo.n
gato.n
girafa.n
inseto.n
joaninha.n
leão.n
leitão.n
lobo.n
louva-a-deus.n
macaco.n
mosquito.n
ovelha.n
pássaro.n
peixe.n
peixinho.n
pet.n
polvo.n
porco.n
raia.n
raposa.n
serpente.n
siri.n
tigre.n
urubu.n
vaca.n
vaga-lume.n
zebra.n"
52,Anunciar,"Um Comunicador anuncia (linguisticamente ou não linguisticamente) a chegada iminente de um Indivíduol ou a ocorrência de um Evento. Geralmente, o Comunicador está tentando informar ao público.",
53,Apagar,Um Agente ou uma Causa remove uma Informação de um Documento que não pode ser recuperada.,
54,Aparato,"Este frame contém palavras gerais que indicam o equipamento onde o Uso ou o propósito não é especificado pelo lexema, mas (tipicamente) por uma expressão separada. As palavras são descritas com relação ao Uso para o qual o item é usado ou seu Usuário típico.","android.n
aplicativo.n
ar-condicionado.n
equipamento.n
informática.n
redes sociais.n
serra.n
tecnologia.n
usuário.n"
55,Aparecer_em,"Um Visitante chega à uma Localização_do_anfitrião como o convidado de um Anfitrião, com o objetivo de alcançar uma Finalidade. A Finalidade normalmente é de natureza social, isto é, a visita em si constitui uma finalidade.",aparecer.v
56,Apelação,"No estágio de Apelação de um processo criminal, o Condenado ou seu Representante solicita ao Tribunal superior que reverta a Decisão de uma primeira instância por determinados Motivos.",
57,Aplicar_calor,"Um Cozinheiro aplica calor ao Alimento, onde a Configuração_de_temperatura do calor e a Duração da aplicação podem ser especificadas. Um Instrumento_de_aquecimento, geralmente indicado por uma frase locativa, também pode ser expresso. Alguns métodos de cozedura envolvem a utilização de uma Mídia (por exemplo, leite ou água) pelo qual o calor é transferido para o alimento. Um alimento ou cozinheiro menos proeminente semanticamente é marcado como Co-participante.",dourar.v
58,Apoiar,Um Apoiador ajuda a fortalecer o Apoiado ao se empenhar em apoio material (ou auxílio abstrato em caso de usos metafóricos).,"apoiar.v
apoio.n"
59,Apostar,"Um Apostador compromete um Bem devido à previsão de uma Situação_incerta que terá um Resultado particular (ou uma classe de resultados). Ele ou ela perde o Bem se a previsão estiver incorreta e o ganha, com ganhos adicionais, se a previsão estiver correta.",apostar.v
60,Apresentação_da_mitigação,"Uma Situação_de_mitigação é apresentada como ocorrendo no contexto de uma situação mais preferível e uma situação menos preferível que, embora esperada, temida ou esperada, não ocorreu ou não ocorrerá; a Situação_de_mitigação é assim, por assim dizer, imprensada entre uma situação melhor e uma pior, ambas relevantes no discurso. Compreender a Situação_de_mitigação é, portanto, dependente de entender as situações melhores e piores, uma ou outra ou ambas as quais normalmente já foram mencionadas ou fortemente evocadas no discurso. A relação da Situação_de_mitigação com essas situações pode ser preenchida por inferência no nível do discurso.",
61,Aprisionamento,As Autoridades colocam um Prisioneiro em uma Prisão como punição por um Crime.,
62,Arbitragem,"Congrega as pessoas de um esporte responsáveis por garantir que ele aconteça de acordo com as regras do esporte, sendo eles o árbitro e os seus assistentes.","arbitragem.n
árbitro assistente.n
árbitro reserva.n
árbitro.n
auxiliar.n
bandeirinha.n
juiz.n
quarto árbitro.n
segundo árbitro.n
trio de arbitragem.n"
63,Área_biológica,"Grandes áreas ecológicas, assim como menores localidades caracterizadas pelo tipo de vida presente em outras palavras, locais geográficos como definidos pela biota.","cerrado.n
deserto.n
floresta.n
mato.n
oásis.n
pântano.n
pradaria.n
selva.n"
64,Aritmética,"Esse frame descreve um certo tipo de cenário matemático no qual dois números, denominados Termo_1 e Termo_2, interagem através de alguma operação matemática.",
65,Aritmética_comutativa,"Esse frame descreve tipos de operações aritméticas e declarações que têm a propriedade comutativa, isto é, a operação é bidirecional (como a adição e a multiplicação). Os termos envolvidos são individualmente identificados como Termo_1 e Termo_2 ou agrupados como uma única frase nominal denominada Termos.",
66,Aritmética_não-comutativa,"Esse frame descreve tipos de operações aritméticas e declarações que não são comutativas, isto é, a operação é unidirecional (como a subtração e divisão). Por causa da natureza não comutativa, os termos devem ser separados uns dos outros na forma de Termo_1 e Termo_2 em vez de um EF intitulado Termos.",
67,Arma,"A Arma é um artefato criado especialmente para causar dano ou prejuízo. Em muitos casos, um Uso, Material de construção, Parte ou Tipo podem ser rigorosamente especificados.","arma.n
maça.n
tesoura.n
torpedo.n"
68,Armadilha,O Enganador cria uma Armadilha para fazer com que a Vítima tenha um entendimento incorreto sobre uma situação. O Enganador antecipa que isso levará a Vítima a tomar um plano de ação (incluindo não fazer nada) que cause dano a ela mesma.,armadilha.n
69,Armadura,"Bem cuja segurança é desejável, ele é protegido contra danos por uma cobertura, a Armadura. A Armadura cobre parte ou todo o Bem e foi projetada para absorver a força de um Perigo iminente.",
70,Armazenar,Um Agente guarda um Tema em um acessível mais um pouco fora da Localização para o propósito de mantê-lo fora de algum dano ou uso inapropriado enquanto ele não está sendo usado.,"guardado.a
manter.v
reservar.v"
71,Arquitetura_de_conexão,"Uma entidade é integrada num edifício como uma Parte de um (possivelmente não expresso) Todo que pode referir-se a todo o edifício ou meramente a uma sub-parte do edifício. A Parte se conecta a locais dentro do prédio entre si, os Locais_conectados. Se um determinado ponto de vista é adotado no contexto de movimento real ou imaginário, então um dos locais pode ser interpretado como Alvo e o outro como Fonte.","degrau.n
janela.n
porta.n"
72,Arriscar,"Um Agente realiza uma Ação que é considerada imprudente. Esse frame é diferente da Tentar em que o perigo que o Agente se coloca executando a Ação é perfilado. O perigo não é explicado, mas geralmente a Ação tem uma possibilidade ou probabilidade de causar dano físico ou social ao Agente.",
73,Arrumar,"Um Agente coloca um Tema complexo em uma Configuração particular, que pode ser uma ordem própria, uma sequência correta ou apropriada ou uma posição espacial.","arrumado.a
arrumar.v
caprichado.a
equipar.v
organizado.a"
74,Artefato,"Um Artefato é feito ou modificado por uma entidade inteligente para ser destinada a um determinado tipo de Uso. Várias propriedades do Artefato podem ser especificadas, como seu Criador, o Tempo_de_criação, Nome, Tipo e o Material do qual ele é composto. O Artefato pode ou não ser uma entidade física.","arrastão.n
asa-delta.n
balão.n
bandeja.n
bebedouro.n
bico de mamadeira.n
bolsa.n
brinquedo.n
cadeira.n
catálogo.n
celular.n
chupeta.n
chuveiro.n
coberta.n
cobertor.n
computador.n
concha.n
controle.n
espelho.n
estilete.n
fio.n
frigideira.n
impressora.n
internet.n
lâmina.n
lençol.n
lente.n
luva cirúrgica.n
mala.n
mesa.n
mesa.n
mochila.n
montanha russa.n
origami.n
pano.n
papel toalha.n
pipa.n
placa.n
pneu.n
prato.n
prisma.n
rádio.n
tecnologia.n
telefone.n
televisão.n
tesouro.n
toboágua.n
túmulo.n
video game.n
video-game.n"
75,Artefato_explosivo_improvisado_operado_à_distância,"Um dispositivo explosivo improvisado, a Bomba, é manipulado para detonar quando recebe um sinal, normalmente por um fio que leva a um gatilho. O gatilho pode ser operado diretamente pelo Detonador, em cujo caso a arma é conhecida como CWIED (fio de comando IED). Ou, o mecanismo de disparo pode ser ativado sem fio, como por um telefone celular. Neste caso, a arma é chamada de RCIED (IED de controle remoto).",
76,Artesanato,"Uma determinada Atividade, realizada convencionalmente ou habitualmente por mais de um Profissional dentro de uma Cultura, é descrita em termos de seu método.","arte.n
ciência.n
crochê.n
ofício.n"
77,Artes_performáticas,"Os Performadores, juntamente com o Personal dos bastidores, executam uma Performance de acordo com um Roteiro e/ou Marcação. O propósito da Performance é criar uma experiência para uma Plateia, que, em seguida, julgará seus méritos. Performances podem estar em muitos Meios diferentes e ser de vários Tipos. Este frame é muito elaborado na sociedade moderna e há uma série de tradições e práticas geralmente (mas não necessariamente) relacionadas com Performances: A Performance é precedida por muitas sessões de treino nas quais o Performador e outro Personal procuram melhorar a quanlidade e/ou fidelidade das suas performances individuais e coletivas com o Roteiro e/ou Objetivo. Os membros da Plateia pagam uma taxa para experienciar a Performance. Os Performadores (e Personal) recebem pagamento por contribuir com a Performance. Frequentemente, há outros indivíduos envolvidos nos aspectos especificamente financeiros da Perf","arte.n
ballet.n
cantar.v
encenação.n
ensaiar.v
Fazer.v
jazz.n
musical.n
pantomima.n
peça de teatro.n
peça.n
performance.n
performar.v
sapateado.n
teatral.a
teatro.n
tocar.v"
78,Artificialidade,"Uma Entidade é avaliada para saber se pertence ou não a uma Categoria_de_referência particular em um contexto em que sua categoria de associação é duvidosa. O critério ou critérios que são relevantes para a avaliação de associação à Categoria_de_referência dependem de unidades lexicais e/ou do contexto. Normalmente, a composição do material, da Entidade, seu método de criação, ou a identidade (e devida autoridade) de seus criadores são fundamentais para associação à categoria apropriada. Note que a Entidade também abarca comportamentos.","aparentemente.adv
enganosa.a"
79,Assear,"Nesse frame, um Agente se envolve em cuidados pessoais com o corpo, asseando um Paciente ou uma Parte_do_corpo. Um Instrumento pode ser usado neste processo, bem como uma Mídia.","anti-higiênico.a
banho.n
enxaguar.v
lavar.v
lavável.a
limpar.v"
80,Assistência,Um Ajudante beneficia uma Parte_beneficiada tornando possível o culminar de uma Meta que a Parte_beneficiada tem. Uma Entidade_focal que está envolvida em alcançar a Meta poderá substituí-la.,"acudir.v
ajudar.v
atendimento.n
auxílio.n
cuidar.v"
81,Assistir_a_evento,Um Turista desloca-se a um Lugar para assistir a um Evento.,"assistir.v
comparecer.v
frequentar.v
ir.v
ver.v"
82,Associação,Um Membro é parte semi-permanente de um Grupo socialmente construído.,relativo.a
83,Atacar,"Um Agressor ataca fisicamente uma Vítima (a qual está normalmente consciente, mas nem sempre), causando ou pretendendo causar um dano físico à Vítima. Uma Arma usada pelo Agressor pode também ser mencionada, além do Lugar, Tempo, Finalidade, Explicação etc. Às vezes a localização é usada através de metonímias simbolizando o Agressor ou a Vítima, e em alguns casos o EF de Lugar será anotado em uma segunda camada de EF.",agressor.n
84,Ataque_suicida,"Um Agressor ataca uma Vítima, com intenção de morrer no processo. No caso prototípico, o ataque é desenhado para matar o Agressor, como quando o piloto deliberadamente bate o avião no alvo.",
85,Atenção,"Este frame refere-se ao estado de prontidão de um Perceptor ao processar e considerar impressões de uma Figura em relação a um Fundo. A existência da Figura dentro do Fundo costuma não ser parte do conhecimento do Perceptor. Alternativamente, um Expressor pode ser mencionado, o qual mostra sinais do estado de atenção do Perceptor.","atenção.n
atender.v
chamar atenção.v
dar bola.v
ligar.v"
